subject_id,rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,gender,age,language,country,sampling,turkcode,stim_name,status,nb_of_run,responses,question_order,stim_type,length,state_OR_event,branch_first,time_interval,node_selected
1,874.0,img/inst_9.png,0.0,image-button-response,23,596361,0.0-17.0,,,,Australia,Left,R564877637680gxrw,,,,,,,,,,,
1,7423.0,,,survey-text,24,603800,0.0-18.0,,,,Australia,Left,R564877637680gxrw,,,,"{""Q0"":""Coucou c'est moi.""}",,,,,,,
2,3069.124999921769,img/inst_1.png,0.0,image-button-response,0,3073,0.0-0.0-0.0,,,,Australia,Left,R565115307800gxrw,,,,,,,,,,,
2,,,,causal-graph1,1,6574,0.0-0.0-1.0,,,,Australia,Left,R565115307800gxrw,img/inst_2L.png,inactive,,,,,,,,,
2,,,,causal-graph1,2,18625,0.0-0.0-2.0,,,,Australia,Left,R565115307800gxrw,"img/inst_3L.png,img/inst_3L.gif",inactive,1.0,,,,,,,,
2,,,,causal-graph1,3,22736,0.0-0.0-3.0,,,,Australia,Left,R565115307800gxrw,img/inst_4L.png,inactive,,,,,,,,,
2,,,,causal-graph1,4,35826,0.0-0.0-4.0,,,,Australia,Left,R565115307800gxrw,"img/inst_5L.png,img/inst_5LT.gif",inactive,1.0,,,,,,,,
2,3867.4250002950425,img/inst_6.png,0.0,image-button-response,5,39694,0.0-0.0-5.0,,,,Australia,Left,R565115307800gxrw,,,,,,,,,,,
2,19056.93499976769,,,survey-multi-choice,6,58754,0.0-0.0-6.0,,,,Australia,Left,R565115307800gxrw,,,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A GCM is a square marked with a star"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on just one detector in each network""}","[0,1,2,3]",,,,,,
2,1295.9099998697639,img/inst_8.png,0.0,image-button-response,7,60056,0.0-1.0,,,,Australia,Left,R565115307800gxrw,,,,,,,,,,,
2,10099.365000147372,,,causal-graph1,8,72521,0.0-2.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LTSS.png,img/branch_LTSS.gif",active,1.0,,,AND_Gate,Short,State,Top,,node14
2,16019.189999904485,,,causal-graph1,9,90521,0.0-3.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LBME1.gif",active,1.0,,,AND_Gate,Medium,Event,Bottom,Short,node5
2,16583.509999793027,,,causal-graph1,10,109961,0.0-4.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LTLE2.gif",active,1.0,,,AND_Gate,Long,Event,Top,Medium,node10
2,22167.115000076592,,,causal-graph1,11,134681,0.0-5.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LTLS.png,img/branch_LTLS.gif",active,1.0,,,AND_Gate,Long,State,Top,,node10
2,17870.904999785125,,,causal-graph1,12,165346,0.0-6.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LTME2.gif",active,1.0,,,AND_Gate,Medium,Event,Top,Medium,node14
2,10751.494999974966,,,causal-graph1,13,177858,0.0-7.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LBMS.png,img/branch_LBMS.gif",active,1.0,,,AND_Gate,Medium,State,Bottom,,node5
2,9479.670000262558,,,causal-graph1,14,189538,0.0-8.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LTSE1.gif",active,1.0,,,AND_Gate,Short,Event,Top,Short,node14
2,14104.420000221582,,,causal-graph1,15,205347,0.0-9.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LTLE1.gif",active,1.0,,,AND_Gate,Long,Event,Top,Short,node10
2,9306.594999972729,,,causal-graph1,16,216307,0.0-10.0,,,,Australia,Left,R565115307800gxrw,"img/chain_L.png,img/chain_LS.gif",active,1.0,,,Chain,Short,,,,node7
2,11128.484999760984,,,causal-graph1,17,229178,0.0-11.0,,,,Australia,Left,R565115307800gxrw,"img/chain_L.png,img/chain_LL.gif",active,1.0,,,Chain,Long,,,,node3
2,10593.075000215322,,,causal-graph1,18,241506,0.0-12.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LTSE2.gif",active,1.0,,,AND_Gate,Short,Event,Top,Medium,node14
2,17381.37499988079,,,causal-graph1,19,260793,0.0-13.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LBLE3.gif",active,1.0,,,AND_Gate,Long,Event,Bottom,Long,node3
2,11393.055000342429,,,causal-graph1,20,273562,0.0-14.0,,,,Australia,Left,R565115307800gxrw,"img/chain_L.png,img/chain_LM.gif",active,1.0,,,Chain,Medium,,,,node5
2,15754.625000059605,,,causal-graph1,21,290795,0.0-15.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LBME3.gif",active,1.0,,,AND_Gate,Medium,Event,Bottom,Long,node12
2,13551.644999999551,,,causal-graph1,22,307498,0.0-16.0,,,,Australia,Left,R565115307800gxrw,"img/branch_LE.png,img/branch_LTSE3.gif",active,1.0,,,AND_Gate,Short,Event,Top,Long,node14
2,1940.9849997609851,img/inst_9.png,0.0,image-button-response,23,309443,0.0-17.0,,,,Australia,Left,R565115307800gxrw,,,,,,,,,,,
2,3796.254999935627,,,survey-text,24,313242,0.0-18.0,,,,Australia,Left,R565115307800gxrw,,,,"{""Q0"":""ll""}",,,,,,,
